index,fscore
IMG_SVD_12,3480
TFIDF_Description_9,3439
IMG_SVD_4,3429
IMG_SVD_14,3406
RescuerID_COUNT,3391
metadata_annots_score_MEAN,3365
IMG_SVD_9,3363
TFIDF_Description_11,3331
IMG_SVD_6,3283
IMG_SVD_13,3275
TFIDF_Description_15,3247
IMG_SVD_10,3216
TFIDF_Description_13,3215
image_size_mean,3190
IMG_SVD_5,3176
IMG_SVD_15,3171
TFIDF_metadata_annots_top_desc_2,3160
TFIDF_metadata_annots_top_desc_13,3127
TFIDF_Description_8,3117
TFIDF_Description_12,3104
IMG_SVD_11,3092
TFIDF_Description_0,3083
IMG_SVD_1,3082
IMG_SVD_8,3058
TFIDF_Description_6,3045
IMG_SVD_2,3025
IMG_SVD_7,3010
TFIDF_Description_2,3008
TFIDF_metadata_annots_top_desc_12,3002
TFIDF_Description_14,2989
TFIDF_Description_4,2985
IMG_SVD_3,2982
TFIDF_metadata_annots_top_desc_14,2976
TFIDF_metadata_annots_top_desc_3,2968
metadata_color_score_MEAN,2952
IMG_SVD_0,2944
metadata_color_pixelfrac_MEAN,2943
TFIDF_sentiment_entities_13,2939
TFIDF_sentiment_entities_15,2938
TFIDF_Description_7,2924
TFIDF_metadata_annots_top_desc_11,2914
TFIDF_metadata_annots_top_desc_15,2906
TFIDF_sentiment_entities_1,2892
TFIDF_sentiment_entities_12,2860
TFIDF_metadata_annots_top_desc_0,2845
TFIDF_Description_10,2808
TFIDF_metadata_annots_top_desc_6,2806
TFIDF_sentiment_entities_14,2792
TFIDF_metadata_annots_top_desc_7,2776
TFIDF_metadata_annots_top_desc_10,2755
TFIDF_Description_1,2755
TFIDF_sentiment_entities_11,2747
TFIDF_Description_3,2717
TFIDF_metadata_annots_top_desc_9,2715
TFIDF_metadata_annots_top_desc_4,2713
TFIDF_metadata_annots_top_desc_8,2681
TFIDF_metadata_annots_top_desc_1,2664
TFIDF_Description_5,2652
TFIDF_sentiment_entities_8,2641
TFIDF_sentiment_entities_7,2613
TFIDF_sentiment_entities_10,2594
TFIDF_sentiment_entities_6,2582
Length_Description,2574
TFIDF_sentiment_entities_3,2452
Age,2429
TFIDF_metadata_annots_top_desc_5,2420
width_mean,2418
TFIDF_sentiment_entities_0,2401
metadata_annots_score_VAR,2393
TFIDF_sentiment_entities_5,2370
height_mean,2351
Lengths_sentiment_entities,2346
metadata_color_pixelfrac_VAR,2341
sentiment_magnitude_var,2292
sentiment_magnitude_mean,2271
image_size_sum,2259
TFIDF_sentiment_entities_9,2240
sentiment_score_var,2185
TFIDF_sentiment_entities_2,2157
TFIDF_sentiment_entities_4,2139
Length_metadata_annots_top_desc,2136
metadata_color_pixelfrac_SUM,2108
metadata_color_score_VAR,2089
image_size_var,2036
sentiment_score_mean,2014
Breed1,1975
sentiment_score_sum,1951
metadata_color_score_SUM,1936
metadata_annots_score_SUM,1855
sentiment_magnitude,1840
width_sum,1582
height_sum,1553
sentiment_magnitude_sum,1409
width_var,1398
height_var,1264
main_state_Population,1045
Breed2,988
Color2,963
sentiment_score,873
Color1,843
State,814
Fee,803
Quantity,712
main_state_Total_area,619
Dewormed,619
MaturitySize,557
Sterilized,551
FurLength,542
Vaccinated,537
Gender,520
main_state_HDI,511
metadata_crop_importance_MEAN,470
Color3,434
metadata_crop_importance_VAR,374
metadata_crop_importance_SUM,309
second_breed_Type,293
metadata_crop_conf_VAR,267
Health,266
mixed_Breed,251
PhotoAmt,249
metadata_breed_253,187
metadata_crop_conf_SUM,181
metadata_breed_292,164
metadata_breed_279,163
metadata_breed_299,117
metadata_breed_295,110
metadata_crop_conf_MEAN,108
metadata_breed_217,97
metadata_breed_175,88
metadata_breed_301,83
metadata_breed_191,82
metadata_breed_271,82
metadata_breed_248,79
metadata_breed_252,76
metadata_breed_40,71
metadata_breed_285,67
metadata_breed_201,67
metadata_breed_246,66
metadata_breed_297,65
metadata_breed_188,60
metadata_breed_274,60
metadata_breed_273,56
metadata_breed_256,54
metadata_breed_71,53
Type,53
VideoAmt,51
metadata_breed_113,49
metadata_breed_36,48
metadata_breed_198,41
metadata_breed_59,40
metadata_breed_247,37
metadata_breed_249,35
metadata_breed_288,35
main_state_States_Federal,35
metadata_breed_190,32
main_breed_Type,32
metadata_breed_186,31
metadata_breed_293,29
metadata_breed_192,28
metadata_breed_181,28
metadata_breed_19,28
metadata_breed_241,28
metadata_breed_177,26
metadata_breed_118,26
metadata_breed_193,24
metadata_breed_194,24
metadata_breed_116,23
metadata_breed_91,23
metadata_breed_278,21
metadata_breed_70,20
metadata_breed_232,19
metadata_breed_69,18
metadata_breed_250,17
metadata_breed_212,17
metadata_breed_296,16
metadata_breed_75,16
metadata_breed_146,13
main_state_West_East,12
metadata_breed_178,12
metadata_breed_150,11
metadata_breed_4,10
metadata_breed_281,10
metadata_breed_49,10
metadata_breed_98,10
metadata_breed_114,10
metadata_breed_17,8
metadata_breed_115,7
metadata_breed_3,7
metadata_breed_135,6
metadata_breed_67,3
metadata_breed_225,3
metadata_breed_226,3
metadata_breed_130,2
metadata_breed_211,2
desc_1,1
metadata_breed_287,1
metadata_breed_143,1
sentiment_entities_0,1
